1;Afganistán
2;Albania
3;Alemania
4;Andorra
5;Angola
6;Antigua y Barbuda
7;Arabia Saudita
8;Argelia;130000;
9;Argentina;83000;
10;Armenia;45000;
11;Australia;60500;
12;Austria;23000;
13;Azerbaiyán;65000;
14;Bahamas;1100;
15;Bangladés;165000;
16;Baréin;20000;
17;Bélgica;26000;
18;Belice;2000;
19;Benín;5000;
20;Bielorrusia;45000;
21;Birmania (Myanmar);400000;
22;Bolivia;60000;
23;Bosnia y Herzegovina;9000;
24;Botsuana;9000;
25;Brasil;360000;
26;Brunéi;218500;
27;Bulgaria;25000;
28;Burkina Faso;12000;
29;Burundi;3000;
30;Bután;8000;
31;Camboya;100000;
32;Camerún;40000;
33;Canadá;70000;
34;Catar;66550;
35;Chad;35000;
36;Chile;80000;
37;China;2000000;
38;Chipre;12750;
39;Ciudad del Vaticano;0;
40;Colombia;360000;
41;Comoras;2000;
42;Corea del Norte;1200000;
43;Corea del Sur;555000;
44;Costa de Marfil;25000;
45;Costa Rica;0;
46;Croacia;15000;
47;Cuba;50000;
48;Dinamarca;16000;
49;Dominica;0;
50;Ecuador;70000;
51;Egipto;440000;
52;El Salvador;21000;
53;Emiratos Árabes Unidos;65000;
54;Eritrea;175000;
55;Eslovaquia;13000;
56;Eslovenia;7000;
57;España;120000;
58;Estados Unidos;1390000
59;Estados Federados de Micronesia;0;
60;Estonia;4000;
61;Etiopía;150000;
62;Filipinas;101000;
63;Finlandia;24000;
64;Fiyi;3000;
65;Francia;205000;
66;Gabón;6500;
67;Gambia;1800;
68;Georgia;61000;
69;Ghana;14000;
70;Granada;0;
71;Grecia;130000;
72;Guatemala;21500;
73;Guinea;45000;
74;Guinea-Bisáu;4000;
75;Guinea Ecuatorial;2400;
76;Haití;17700;
77;Honduras;16000;
78;Hungría;23000;
79;India;1450000;
80;Indonesia;400000;
81;Irak;200000;
82;Irán;575000;
83;Irlanda;8700;
84;Islandia;0;
85;Islas Marshall;0;
86;Islas Salomón;0;
87;Israel;173000;
88;Italia;170000;
89;Jamaica;1470000;
90;Japón;240000;
91;Jordania;90000;
92;Kazajistán;40200;
93;Kenia;35000;
94;Kirguistán;15000;
95;Kiribati;0;
96;Kuwait;17000;
97;Laos;30000;
98;Lesoto;6800;
99;Letonia;6500;
100;Líbano;80000;
101;Liberia;2000;
102;Libia;100000;
103;Liechtenstein;0;
104;Lituania;16000;
105;Luxemburgo;1000;
106;Madagascar;13000;
107;Malasia;85000;
108;Malaui;25500;
109;Malí;18000;
110;Malta;1700;
111;Marruecos;200000;
112;Mauricio;0;
113;Mauritania;31000;
114;México;300000;
115;Moldavia;6000;
116;Mónaco;0;
117;Mongolia;35000;
118;Montenegro ;2400;
119;Mozambique;12000;
120;Namibia;12500;
121;Nauru;0;
122;Nepal;95000;
123;Nicaragua;24000;
124;Níger;10000;
125;Nigeria;135000;
126;Noruega;23000;
127;Nueva Zelanda;9600;
128;Omán;40000;
129;Países Bajos;35000;
130;Pakistán;654000;
131;Palaos;0;
132;Panamá;33000;
133;Papúa Nueva Guinea;2750;
134;Paraguay;20000;
135;Perú;9500;
136;Polonia;120000;
137;Portugal;27000;
138;Reino Unido;19400
139;República Centroafricana;10000;
140;República Checa;26000;
141;República de Cabo Verde (Cabo Verde);1300;
142;República del Congo;12000;
143;República Democrática del Congo;140000;
144;República Dominicana;60000;
145;República de Macedonia del Norte (Macedonia del Norte);9000;
146;República de Kosovo (Kosovo o Kósovo);5000;
147;República Sudafricana (Sudafrica);40200;
148;Rumania;67000;
149;Rusia;830900;
150;Samoa;0;
151;San Cristóbal y Nieves;500;
152;San Vicente y las Granadinas;0;
153;Santa Lucía;0;
154;Senegal;17000;
155;Serbia;25000;
156;Sierra Leona;13000;
157;Singapur;60000;
158;Siria;100000;
159;Somalia;17500;
160;Sri Lanka;250000;
161;Suazilandia (Eswatini o Swazilandia);3000;
162;Sudán;100000;
163;Sudán del Sur;175000;
164;Suecia;16000;
165;Suiza;24000;
166;Tailandia;350000;
167;Tanzania;26000;
168;Tayikistán;9500;
169;Togo;0;
170;Tonga;0;
171;Túnez;90000;
172;Turkmenistán;30000;
173;Turquía;425000;
174;Tuvalu;0;
175;Ucrania;200000;
176;Uganda;47000;
177;Uruguay;22000;
178;Uzbekistán;55000;
179;Vanuatu;0;
180;Venezuela;91000;
181;Vietnam;300000;
182;Yemen;69000;
183;Yibuti;6000;
184;Zambia;18000;
185;Zimbabue;15000;
